"TOA5","Pelican Lake","","","","","","Flux_AmeriFluxFormat"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","G_1_1_1","G_1_1_2","SG_1_1_1","SG_1_1_2","G_plate_1_1_1","G_plate_1_1_2","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","TA_1_1_4","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","CO2_sig_strgth_Min","H2O_sig_strgth_Min","Battery_Voltage","TS_1_1_1","TS_1_1_2","SWC_1_1_1","SWC_1_1_2","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","W m-2","W m-2","","","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","deg C","hPa","deg C","deg C","m","fraction","fraction","V","deg C","deg C","%","%","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 08:00:00",0,202510310738,202510310800,421.7061,1.879467,4.173166,0.1500566,0.8035697,8,2.765225,8,0.003994812,8,-1.720535,8,-20.69702,-2.294829,-23.42216,-17.97187,-2.487875,-2.101783,-20.93428,-15.87009,14.75106,692.413,72.12441,42.5237,48.49554,0.5771469,1.408657,0.04688361,0.332418,0.002375863,3,4.945971,0.5347728,0.2635936,0,0.2051263,-4.656613E-10,0.06612767,86.05836,2.226084,49.37424,-7.286431,3.833418,44.32374,-7.211004,2.376584,53.48526,-6.10261,2.257756,4.493134,4.200373,0.2329448,114.0717,0.9149909,0.8856109,11.76105,6.760089,6.142249,4.766331,5.373366,17.33736,15.36694,72.83585,12.58209,280.8215,325.7083,0
"2025-10-31 09:00:00",1,202510310800,202510310900,416.4633,1.881642,4.579355,0.191847,-0.7172605,8,11.49741,8,0.01660671,8,8.477493,8,-10.34851,3.485026,-12.48357,-8.213448,3.266077,3.703975,-15.74965,-11.91742,9.15381,113.4235,25.85278,17.4823,90.57751,1.267199,3.220303,0.1551567,-0.05333089,0.0260338,4,-30.82885,1.1724,0.6344434,0,0.4195227,-1.862645E-09,0.1584122,86.06348,3.646529,49.09816,-6.068729,4.94416,45.02227,-6.007468,3.63405,53.06971,-5.048852,3.48045,4.802947,5.348405,0.4607218,1499.599,0.914291,0.8847288,12.17896,6.790795,6.193719,4.813567,5.373681,15.92112,62.44641,157.9773,25.15804,266.9796,337.3524,0
"2025-10-31 10:00:00",2,202510310900,202510311000,413.9502,2.122551,4.395047,0.2000755,-1.579276,5,32.03313,5,0.04637212,5,115.1832,5,-2.115113,4.610837,-4.043092,-0.1871333,3.181889,6.039786,-7.224981,-6.226919,2.981889,22.79268,7.254154,4.875316,89.79892,0.8647059,3.285261,0.133743,-1.0672,0.01918284,4,-1.540601,0.6543691,0.67962,0,0.3892381,9.313226E-10,0.2082718,86.07082,7.174634,37.55268,-6.544222,7.199938,37.15373,-6.542662,5.994266,44.39089,-5.292001,5.918141,6.477518,7.591081,1.515526,2069.188,0.9144367,0.8842734,12.78929,7.00233,6.478213,4.892503,5.404307,15.79134,226.7567,397.9571,63.35607,255.7942,363.6385,0
"2025-10-31 11:00:00",3,202510311000,202510311100,417.8605,1.896622,4.594133,0.3367851,-7.670342,3,74.70504,3,0.1084522,3,109.3248,3,27.88626,19.17534,29.49575,26.27676,18.29012,20.06056,11.20563,6.216208,3.000696,23.93912,7.442407,4.955851,246.7971,1.264751,3.391247,0.1434025,-0.8417262,0.02182614,3,-1.953283,0.6748697,0.7862973,0,0.9471412,0,0.2404073,86.09926,9.84517,32.3278,-5.979527,9.839273,32.26935,-5.979597,8.970572,37.67476,-4.703651,8.752316,8.278564,10.25208,1.009752,2060.934,0.9135172,0.8831497,13.91466,7.569646,7.174576,4.977332,5.531664,15.0774,378.1765,602.1918,90.82256,262.8995,396.0923,0
"2025-10-31 12:00:00",4,202510311100,202510311200,419.3822,3.091328,4.477238,0.4486556,-8.671347,3,101.8788,3,0.1482604,3,134.9336,3,42.17184,16.39144,48.69255,35.65115,13.75046,19.03241,34.94209,16.61873,4.074414,31.98818,9.798112,6.703812,165.0023,1.559765,4.426627,0.1629925,-0.7110381,0.02792813,3,-2.312295,0.906011,1.050238,0,1.065242,0,0.2734248,86.04841,12.05637,27.13432,-6.366757,12.43412,26.46601,-6.349271,11.50939,32.18957,-4.55372,11.32485,10.68295,12.84006,1.133721,2053.754,0.9125641,0.8813185,13.83769,8.381642,8.157746,5.114112,5.619678,15.23188,420.4326,664.2408,101.1796,269.5756,412.2043,0
"2025-10-31 13:00:00",5,202510311200,202510311300,423.3373,3.079407,4.315322,0.4662095,-9.229074,1,107.269,1,0.156338,1,117.2557,1,51.74927,17.69159,58.09959,45.39894,16.56686,18.81632,41.53273,26.58262,20.51263,56.58448,29.15086,22.06436,173.475,1.855163,4.721677,0.2007085,-0.3343959,0.04207426,3,-4.916717,1.57471,1.019294,0,0.876799,-9.313226E-10,0.2714473,85.9594,13.43896,23.84623,-6.87431,13.99821,22.96573,-6.848668,13.07071,28.79224,-4.657389,12.83746,12.36757,14.39169,0.8398626,2001.666,0.9127136,0.8817351,13.60106,9.174339,9.138713,5.212359,5.796425,15.39174,413.4312,661.2054,101.7696,273.1596,419.1642,0
"2025-10-31 14:00:00",6,202510311300,202510311400,422.8305,3.426392,4.364468,0.4818473,-8.522054,3,97.33922,3,0.1420423,3,98.58764,3,46.26984,12.48836,54.65525,37.88442,11.75051,13.22621,42.90474,24.65821,25.4014,70.04668,36.10011,27.32409,168.5009,1.697939,4.877614,0.2463112,-0.1529252,0.06301558,4,-10.7512,1.185953,1.053643,0,0.981555,0,0.255011,85.87453,14.56089,22.36518,-6.753303,15.33074,21.28592,-6.718267,14.36807,26.84496,-4.465205,14.15404,13.7736,15.73052,0.8774292,1884.976,0.9128475,0.8823676,13.71246,9.873327,9.966014,5.314667,5.802552,15.66479,342.9433,578.4122,90.5858,275.4809,420.3639,0
"2025-10-31 15:00:00",7,202510311400,202510311500,419.1049,1.817961,3.968959,0.4552857,-4.492816,3,58.89236,3,0.08606084,3,76.68222,3,41.90143,7.932636,47.45226,36.3506,8.704924,7.160349,38.74734,29.19025,4.339788,40.65974,11.43076,7.567672,105.5099,1.398664,3.99967,0.1941013,-0.2402582,0.03891363,2,-6.843179,0.9727808,0.8255922,0,0.8750973,-9.313226E-10,0.2527511,85.82401,16.15537,18.38849,-7.988561,16.8724,17.58503,-7.956521,15.84838,22.91312,-5.326853,15.65886,15.9155,17.23789,0.7374381,1963.136,0.7532579,0.7367112,13.71493,10.40714,10.45894,5.325684,5.874976,16.87404,241.3072,457.1611,76.93617,278.6697,417.5874,0
